animal has hair,F1,Basic,0,R1,Nil,Nil
animal gives milk,F2,Basic,0,R2,Nil,Nil
animal has feathers,F3,Basic,0,R3,Nil,Nil
animal flies,F4,Basic,0,R4 R11,Nil,Nil
animal lays eggs,F5,Basic,0,R4,Nil,Nil
animal eats meat,F6,Basic,0,R5,Nil,Nil
animal chews grass,F7,Basic,0,R6,Nil,Nil
animal has tawny color,F8,Basic,0,R7 R8 R9 R10,Nil,Nil
animal has dark spots,F9,Basic,0,R7 R9,Nil,Nil
animal has black stripes,F10,Basic,0,R8 R10,Nil,Nil
animal has long legs,F11,Basic,0,R11 ,Nil,Nil
animal has long neck,F12,Basic,0,R11,Nil,Nil
animal flies very well,F13,Basic,0,R12,Nil,Nil
animal is a mammal,F14,Derived,1,R5 R6,R1 R2,F1orF2
animal is a bird,F15,Derived,1,R11 R12,R3 R4,F3orF4&F5
animal is a carnivore,F16,Derived,2,R7 R8,R5,F14&F6
animal is a herbivore,F17,Derived,2,R9 R10,R6,F14&F7
animal is a cheetah,F18,Derived,3,Nil,R7,F16&F8&F9
animal is a tiger,F19,Derived,3,Nil,R8,F16&F8&F10
animal is a giraffe,F20,Derived,3,Nil,R9,F17&F8&F9
animal is a zebra,F21,Derived,3,Nil,R10,F17&F8&F10
animal is a ostrich,F22,Derived,3,Nil,R11,F15&!F4&F11&F12
animal is a albatross,F23,Derived,3,Nil,R12,F15&F13
